Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Jersey cross,5,40,11,10,1.06,16.66,3.58,8.58,38,40.69,3,50,54,2
Jersey cross,5,37,8,11,0.45,15.75,3.73,8.42,32,44.27,5,37,57,0
Jersey cross,5,34,9,5,1.05,13.66,3.61,8.57,34,43.09,5,72,75,3
Holstein Friesian Cross,9,34,8,14,1.1,19.16,3.45,8.39,29,41.82,5,47,64,3
Holstein Friesian Cross,3,27,8,5,0.07,15.25,3.42,8.44,29,37.92,4,74,56,1
Holstein Friesian Cross,6,43,5,7,0.68,18.31,3.16,8.39,37,40.68,6,58,51,2
Jersey cross,5,40,14,11,1.0,15.42,3.61,8.57,36,39.09,3,37,60,0
Holstein Friesian Cross,1,42,7,12,0.07,15.74,3.24,8.46,34,35.23,4,60,58,3
Holstein Friesian Cross,1,36,13,6,0.59,14.59,3.18,8.52,36,37.64,4,51,56,0
Holstein Friesian Cross,6,44,7,4,1.07,17.66,3.1,8.54,37,36.89,3,59,74,2
Holstein Friesian Cross,7,29,7,7,0.72,18.07,3.33,8.48,30,44.39,5,29,53,2
Holstein Friesian Cross,2,43,9,11,1.63,17.91,3.33,8.43,31,42.03,4,74,52,1
Holstein Friesian Cross,5,44,7,4,0.66,17.96,3.15,8.61,34,44.18,5,32,58,2
Holstein Friesian Cross,9,38,10,7,0.26,20.14,3.3,8.43,38,42.22,2,28,69,3
Jersey cross,4,32,12,7,1.68,13.46,3.63,8.5,33,38.79,2,29,71,2
Holstein Friesian Cross,8,32,13,8,1.6,18.2,3.26,8.53,35,39.28,6,26,68,3
Jersey cross,4,33,10,10,0.45,14.6,3.74,8.45,28,35.7,4,34,57,1
Jersey cross,1,25,8,10,0.11,11.59,3.79,8.43,29,39.23,3,69,54,1
Holstein Friesian Cross,5,33,6,13,1.74,18.26,3.42,8.38,31,37.55,2,31,72,0
Holstein Friesian Cross,3,30,5,12,1.03,15.46,3.49,8.37,29,40.87,6,36,51,1
Jersey cross,2,29,13,13,1.44,15.07,3.76,8.59,36,38.15,3,26,74,1
Holstein Friesian Cross,1,43,9,7,0.26,15.35,3.3,8.59,30,35.44,3,44,74,0
Jersey cross,5,35,9,4,0.37,13.59,3.46,8.57,34,35.36,5,47,62,1
Jersey cross,2,36,5,7,1.94,13.44,3.52,8.4,30,35.58,2,43,66,2
Jersey cross,9,43,12,8,1.56,17.54,3.47,8.6,37,36.37,5,28,59,3
Jersey cross,5,45,6,9,0.74,16.84,3.53,8.49,38,43.56,3,68,54,1
Jersey cross,5,44,9,11,1.73,16.65,3.68,8.46,38,39.95,5,51,72,3
Holstein Friesian Cross,1,45,10,13,0.28,16.39,3.23,8.55,30,35.76,6,64,73,3
Jersey cross,2,41,14,13,0.23,16.17,3.6,8.44,32,41.94,2,33,64,3
Holstein Friesian Cross,6,36,13,12,0.51,19.47,3.44,8.44,28,37.66,3,32,53,3
Holstein Friesian Cross,8,31,8,6,0.43,17.98,3.41,8.52,36,35.93,2,37,57,2
Holstein Friesian Cross,3,29,7,10,0.86,15.73,3.43,8.48,33,42.32,4,42,59,2
Holstein Friesian Cross,7,42,6,9,0.03,19.32,3.3,8.51,34,40.58,2,34,63,2
Jersey cross,2,40,7,12,1.11,14.11,3.57,8.46,36,41.82,4,63,55,0
Holstein Friesian Cross,7,40,8,11,0.4,18.73,3.37,8.44,28,36.51,4,49,69,3
Holstein Friesian Cross,4,41,7,14,0.08,19.12,3.28,8.38,32,41.73,3,51,63,2
Holstein Friesian Cross,1,26,9,6,1.73,13.41,3.44,8.48,34,38.77,5,41,66,1
Holstein Friesian Cross,3,36,6,4,0.92,15.11,3.18,8.53,33,38.35,5,52,61,3
Jersey cross,3,28,10,10,1.19,13.33,3.74,8.41,29,44.45,6,38,71,0
Holstein Friesian Cross,9,26,7,5,1.1,17.82,3.25,8.53,35,44.59,3,44,67,3
Holstein Friesian Cross,3,34,9,12,0.18,15.84,3.48,8.42,36,42.73,3,49,71,0
Holstein Friesian Cross,3,39,5,8,0.63,16.68,3.36,8.47,31,42.62,6,64,72,1
Holstein Friesian Cross,7,40,13,4,0.79,17.08,3.14,8.56,33,37.89,3,64,73,3
Holstein Friesian Cross,8,40,9,12,1.77,20.6,3.27,8.42,37,35.15,6,66,75,1
Holstein Friesian Cross,5,27,8,8,0.23,15.49,3.32,8.58,28,41.04,2,75,54,1
Holstein Friesian Cross,7,27,10,12,1.32,18.36,3.51,8.38,29,37.79,3,69,65,1
Jersey cross,8,31,14,10,0.7,16.87,3.64,8.54,28,37.07,4,72,72,1
Holstein Friesian Cross,7,45,10,9,1.5,18.6,3.26,8.53,28,43.27,4,26,68,2
Jersey cross,1,28,11,7,0.97,12.96,3.73,8.59,29,37.46,6,66,64,3
Holstein Friesian Cross,5,30,7,5,1.95,15.22,3.38,8.55,30,38.81,5,27,60,2
Holstein Friesian Cross,4,30,8,7,0.11,16.47,3.3,8.51,32,44.01,2,71,74,3
Holstein Friesian Cross,5,28,5,11,1.25,16.71,3.35,8.35,33,37.36,2,50,64,2
Holstein Friesian Cross,1,45,11,11,0.1,15.78,3.27,8.43,31,42.83,5,27,65,0
Holstein Friesian Cross,5,45,12,4,0.45,18.23,3.09,8.64,33,38.51,5,29,62,3
Holstein Friesian Cross,6,27,10,13,1.85,18.29,3.46,8.42,31,38.38,5,50,57,2
Holstein Friesian Cross,4,45,14,12,1.29,18.15,3.3,8.59,36,35.36,6,64,65,0
Holstein Friesian Cross,5,43,5,5,0.6,16.72,3.21,8.44,32,38.2,5,36,58,1
Jersey cross,1,44,9,5,1.07,12.49,3.44,8.63,30,35.41,6,71,71,1
Holstein Friesian Cross,3,42,5,6,0.67,15.84,3.22,8.54,30,37.07,2,58,75,0
Jersey cross,8,38,10,13,1.69,17.38,3.77,8.42,29,43.17,2,58,75,0
Jersey cross,1,37,6,13,0.68,13.46,3.75,8.41,37,41.18,4,44,67,2
Jersey cross,1,32,8,13,0.57,14.69,3.75,8.52,36,40.67,5,47,74,1
Holstein Friesian Cross,6,35,6,13,0.69,17.89,3.37,8.47,29,36.03,3,49,69,2
Jersey cross,5,27,9,14,1.15,14.86,3.88,8.42,37,36.88,6,50,75,0
Holstein Friesian Cross,4,44,10,13,0.34,18.82,3.41,8.4,33,44.74,4,65,51,2
Jersey cross,1,27,11,12,0.46,13.84,3.73,8.53,38,35.93,3,59,67,2
Holstein Friesian Cross,5,30,14,5,0.14,16.18,3.29,8.57,38,39.31,5,50,53,0
Holstein Friesian Cross,7,37,8,13,0.81,19.34,3.39,8.43,35,42.28,3,37,68,1
Holstein Friesian Cross,4,34,13,14,1.78,17.68,3.34,8.5,30,41.86,5,60,52,1
Holstein Friesian Cross,8,26,13,12,0.07,18.82,3.45,8.41,35,41.53,6,28,56,2
Holstein Friesian Cross,2,45,10,9,0.51,17.44,3.22,8.53,28,44.57,2,49,56,1
Jersey cross,5,32,5,14,1.65,16.09,3.8,8.38,34,38.44,6,66,51,2
Holstein Friesian Cross,6,34,8,6,1.42,16.53,3.23,8.43,30,44.93,5,68,52,3
Jersey cross,6,44,7,4,0.56,14.62,3.38,8.49,30,40.19,4,27,60,3
Holstein Friesian Cross,3,43,14,12,0.83,18.06,3.32,8.55,34,43.76,3,38,62,3
Jersey cross,8,39,14,6,0.64,15.88,3.48,8.62,35,35.16,3,45,71,2
Holstein Friesian Cross,4,32,8,11,1.29,17.22,3.38,8.48,28,39.87,5,55,70,0
Jersey cross,7,37,11,6,0.75,15.72,3.51,8.52,32,36.69,5,43,59,0
Holstein Friesian Cross,6,25,11,9,1.65,17.82,3.37,8.59,38,40.41,6,42,75,0
Jersey cross,8,30,5,14,0.51,17.59,3.85,8.49,36,41.28,4,33,52,0
Jersey cross,5,35,12,11,0.71,16.76,3.58,8.43,28,38.34,3,50,67,0
Holstein Friesian Cross,6,45,13,10,1.76,19.37,3.34,8.61,35,41.99,2,36,72,2
Holstein Friesian Cross,2,43,12,10,0.2,17.76,3.23,8.58,37,42.82,3,34,52,1
Holstein Friesian Cross,9,25,14,13,0.9,18.77,3.61,8.5,34,37.32,5,54,65,0
Jersey cross,2,41,6,12,0.71,15.23,3.71,8.4,34,37.13,2,58,69,3
Holstein Friesian Cross,3,28,5,6,0.75,13.94,3.35,8.57,30,43.16,2,56,72,2
Jersey cross,9,29,5,8,1.89,15.86,3.7,8.48,33,37.32,5,39,73,1
Jersey cross,7,39,13,4,0.62,15.45,3.57,8.58,28,37.97,2,59,58,0
Holstein Friesian Cross,6,29,10,11,0.05,18.54,3.39,8.52,29,35.6,6,68,57,0
Holstein Friesian Cross,8,34,11,4,0.25,17.78,3.29,8.62,32,43.71,6,72,58,1
Jersey cross,9,28,14,10,1.45,17.37,3.63,8.49,38,44.64,2,25,69,1
Holstein Friesian Cross,3,33,7,6,1.11,14.7,3.38,8.5,30,42.09,4,44,61,2
Jersey cross,3,35,6,10,1.21,14.24,3.74,8.54,29,41.78,2,33,60,1
Jersey cross,5,25,13,11,1.44,15.84,3.82,8.61,33,35.69,2,29,59,1
Jersey cross,7,39,7,10,1.61,16.39,3.58,8.46,32,39.54,2,68,51,0
Jersey cross,9,33,12,6,1.85,16.11,3.65,8.65,29,44.9,2,39,74,2
Holstein Friesian Cross,7,39,6,9,0.55,19.04,3.34,8.55,34,43.2,3,70,66,2
Holstein Friesian Cross,2,45,12,5,1.74,16.8,3.23,8.63,36,44.75,5,65,51,3
Holstein Friesian Cross,4,28,6,9,1.64,16.83,3.4,8.42,29,42.04,5,67,70,2
Holstein Friesian Cross,8,34,5,4,0.57,16.86,3.15,8.57,31,35.05,4,27,55,3
Holstein Friesian Cross,3,35,5,8,1.4,15.9,3.21,8.46,31,38.47,4,27,63,2
Holstein Friesian Cross,5,42,9,4,0.04,17.56,3.08,8.46,34,41.94,5,62,54,0
Jersey cross,4,31,8,8,1.19,13.71,3.71,8.42,32,39.57,3,54,60,2
Jersey cross,6,38,7,10,0.88,16.17,3.64,8.45,34,37.57,4,72,65,2
Holstein Friesian Cross,1,43,12,14,1.21,17.25,3.3,8.39,38,39.8,3,73,62,3
Jersey cross,4,38,14,5,0.79,14.99,3.49,8.55,28,42.62,6,53,61,3
Holstein Friesian Cross,1,31,10,7,1.12,14.67,3.25,8.53,30,39.52,2,64,75,1
Jersey cross,7,41,5,13,1.55,16.96,3.67,8.33,36,41.67,2,25,72,3
Jersey cross,6,35,14,8,1.65,15.1,3.52,8.54,36,41.68,3,55,67,0
Holstein Friesian Cross,3,28,7,10,0.05,15.25,3.34,8.47,35,43.74,4,42,62,2
Jersey cross,3,45,6,12,1.33,15.0,3.63,8.43,37,35.14,4,64,60,2
Holstein Friesian Cross,2,40,14,9,0.74,16.03,3.33,8.48,29,38.72,2,64,62,2
Jersey cross,6,44,13,7,1.76,16.58,3.45,8.46,32,39.17,6,37,66,0
Jersey cross,4,39,5,10,0.87,15.52,3.59,8.54,32,39.33,2,61,59,2
Holstein Friesian Cross,4,27,11,14,0.95,16.06,3.5,8.49,28,38.52,3,40,53,3
Jersey cross,4,30,9,13,1.92,15.69,3.84,8.45,29,41.53,4,26,68,2
Holstein Friesian Cross,7,36,6,4,1.73,16.59,3.14,8.5,37,35.47,6,71,56,2
Holstein Friesian Cross,7,33,7,8,1.25,18.54,3.3,8.5,28,36.02,3,40,67,1
Holstein Friesian Cross,5,39,7,12,1.48,18.01,3.32,8.52,30,37.66,5,75,61,2
Holstein Friesian Cross,3,41,13,5,1.76,17.03,3.17,8.48,33,38.16,3,74,57,1
Jersey cross,5,41,6,7,0.53,16.04,3.6,8.43,29,38.98,6,63,65,3
Jersey cross,9,35,14,5,1.25,17.21,3.64,8.59,35,42.03,6,63,66,3
Holstein Friesian Cross,1,40,7,6,1.81,14.32,3.28,8.46,30,39.19,3,52,70,0
Jersey cross,1,44,8,9,0.74,14.5,3.59,8.49,38,40.76,6,35,57,1
Holstein Friesian Cross,8,27,13,12,0.61,18.42,3.44,8.57,36,39.06,6,49,57,0
Jersey cross,6,29,14,8,1.57,16.06,3.58,8.51,32,36.45,6,49,66,2
Holstein Friesian Cross,8,34,11,5,0.99,18.2,3.3,8.63,37,44.44,3,61,66,1
Jersey cross,5,41,12,10,0.59,15.44,3.6,8.5,36,40.32,6,66,59,3
Holstein Friesian Cross,6,27,10,7,1.07,16.14,3.46,8.44,32,37.59,6,60,50,3
Holstein Friesian Cross,8,29,10,6,1.35,18.48,3.31,8.61,33,39.34,6,38,72,0
Jersey cross,7,42,5,14,1.22,17.02,3.59,8.48,30,41.87,6,75,54,0
Jersey cross,3,27,14,12,1.91,15.04,3.71,8.46,28,38.99,4,51,73,0
Jersey cross,5,35,13,6,0.51,13.91,3.47,8.58,31,40.27,2,35,75,2
Jersey cross,6,28,9,9,0.22,15.81,3.72,8.56,34,38.73,3,69,58,2
Jersey cross,1,32,13,13,1.19,14.73,3.68,8.46,38,39.11,4,64,56,2
Jersey cross,9,40,14,11,1.63,18.5,3.54,8.58,34,43.1,2,48,71,2
Jersey cross,1,32,6,5,0.56,12.96,3.51,8.48,36,44.55,5,33,52,1
Jersey cross,3,27,10,14,0.05,13.51,3.72,8.38,28,42.25,3,64,63,1
Holstein Friesian Cross,6,28,10,9,1.28,17.14,3.31,8.54,28,43.32,6,69,67,2
Jersey cross,6,31,13,4,1.71,14.84,3.62,8.6,29,35.23,4,33,51,3
Holstein Friesian Cross,9,26,9,4,1.85,17.05,3.23,8.61,38,43.48,4,31,74,1
Holstein Friesian Cross,2,42,7,5,0.78,15.53,3.16,8.58,28,43.53,5,52,70,0
Jersey cross,9,29,13,5,1.15,15.46,3.67,8.66,37,44.42,4,39,68,1
Holstein Friesian Cross,1,33,9,12,1.95,16.28,3.38,8.47,31,36.58,4,72,51,1
Holstein Friesian Cross,9,25,14,5,1.69,16.74,3.4,8.54,34,38.42,3,26,69,0
Jersey cross,8,30,6,11,1.27,16.61,3.79,8.4,28,42.99,5,30,67,2
Jersey cross,9,32,7,10,0.2,16.96,3.64,8.4,31,38.65,6,47,64,0
Jersey cross,5,28,11,12,1.92,15.27,3.77,8.55,32,36.66,2,50,53,3
Holstein Friesian Cross,8,41,7,10,0.86,19.91,3.22,8.47,35,40.53,3,63,72,2
Jersey cross,6,27,7,5,1.0,13.98,3.58,8.45,38,44.56,2,59,63,2
Jersey cross,3,25,12,11,0.14,13.84,3.76,8.56,28,42.68,6,66,53,0
Jersey cross,2,39,9,7,0.25,13.03,3.45,8.54,30,42.1,6,59,70,3
Jersey cross,6,35,7,8,0.43,14.53,3.68,8.56,29,41.25,3,36,62,1
Holstein Friesian Cross,6,36,7,13,1.1,18.81,3.43,8.42,32,44.02,3,73,63,1
Holstein Friesian Cross,5,39,8,11,0.59,18.48,3.37,8.38,30,41.51,2,49,53,3
Holstein Friesian Cross,7,40,12,5,1.14,18.96,3.17,8.63,31,39.81,4,51,51,2
Jersey cross,7,45,5,8,1.65,16.52,3.5,8.4,35,38.1,5,52,60,1
Holstein Friesian Cross,3,33,12,8,0.63,15.95,3.38,8.58,29,37.71,2,69,63,3
Jersey cross,2,45,12,12,0.38,14.98,3.61,8.57,31,43.49,4,63,54,1
Jersey cross,8,30,8,12,0.34,17.1,3.66,8.47,36,41.25,4,65,55,1
Holstein Friesian Cross,6,30,9,11,0.82,17.38,3.48,8.52,28,35.18,5,54,56,2
Holstein Friesian Cross,4,39,5,9,0.16,16.68,3.2,8.54,30,40.37,5,25,73,2
Jersey cross,3,26,10,11,0.71,13.76,3.82,8.56,30,37.66,4,71,68,0
Holstein Friesian Cross,3,36,5,10,1.96,16.3,3.41,8.38,35,41.67,2,37,66,2
Jersey cross,1,40,11,4,2.0,12.55,3.46,8.65,31,40.33,5,53,68,0
Holstein Friesian Cross,4,42,14,10,0.88,18.61,3.28,8.55,29,41.7,5,34,61,1
Holstein Friesian Cross,7,26,7,10,0.45,16.51,3.47,8.52,30,38.72,5,40,55,2
Holstein Friesian Cross,2,39,8,13,1.58,17.67,3.32,8.39,35,40.24,4,50,54,0
Jersey cross,3,31,6,8,1.05,13.78,3.6,8.54,31,36.13,6,61,53,1
Holstein Friesian Cross,3,38,11,9,0.48,16.57,3.27,8.6,29,39.9,4,34,63,3
Jersey cross,3,39,14,13,0.77,16.28,3.65,8.48,35,42.9,4,63,75,3
Jersey cross,1,32,9,10,0.29,13.06,3.61,8.55,37,42.87,6,41,74,0
Jersey cross,5,31,9,14,1.89,15.7,3.81,8.44,30,43.11,4,59,51,2
Jersey cross,5,29,5,14,0.06,14.67,3.72,8.41,36,41.61,3,38,73,2
Jersey cross,2,27,9,5,0.36,11.48,3.62,8.54,31,38.96,4,72,59,0
Jersey cross,6,36,7,10,1.84,15.36,3.61,8.55,37,42.49,3,32,50,2
Jersey cross,1,32,9,8,1.82,13.4,3.62,8.55,31,43.03,2,70,70,2
Holstein Friesian Cross,6,29,5,11,1.86,17.03,3.37,8.51,33,44.58,2,74,74,1
Jersey cross,7,37,14,4,1.26,15.28,3.43,8.54,38,44.62,2,56,51,2
Jersey cross,5,27,10,9,1.57,13.86,3.63,8.49,32,40.67,3,33,69,3
Holstein Friesian Cross,9,43,10,7,1.2,19.68,3.3,8.48,32,35.59,4,75,69,3
Jersey cross,9,41,8,13,1.8,18.16,3.72,8.45,33,41.5,2,48,53,1
Holstein Friesian Cross,6,35,14,12,0.64,18.07,3.44,8.44,33,41.94,5,29,58,3
Jersey cross,6,34,6,8,1.56,15.65,3.55,8.5,30,40.05,5,53,57,3
Jersey cross,4,25,9,9,0.91,13.68,3.79,8.58,32,35.66,2,35,66,1
Jersey cross,5,37,6,9,1.02,15.23,3.63,8.38,33,44.71,6,39,61,1
Holstein Friesian Cross,9,28,14,7,0.38,19.28,3.46,8.6,34,43.71,2,60,73,2
Jersey cross,6,27,6,4,1.49,13.98,3.63,8.43,38,40.95,4,69,51,1
Holstein Friesian Cross,9,27,6,11,1.91,17.92,3.37,8.42,38,36.28,5,42,72,2
Holstein Friesian Cross,3,35,7,12,1.55,16.06,3.31,8.44,34,38.96,6,36,59,0
Jersey cross,9,38,8,13,0.81,18.19,3.65,8.36,36,44.4,2,26,69,2
Jersey cross,8,44,5,6,0.45,16.05,3.57,8.47,30,35.84,2,34,61,0
Holstein Friesian Cross,2,36,9,9,0.64,16.55,3.34,8.57,32,38.73,5,47,71,1
Holstein Friesian Cross,5,45,10,6,1.06,17.47,3.16,8.49,29,41.76,3,43,66,3
Holstein Friesian Cross,9,44,6,4,1.48,19.26,3.04,8.56,29,37.1,5,62,64,1
Holstein Friesian Cross,9,40,8,13,1.52,21.06,3.33,8.46,35,37.77,3,66,71,1
Jersey cross,2,29,7,11,1.33,12.54,3.63,8.52,32,43.68,5,33,57,0
Holstein Friesian Cross,5,28,7,10,0.8,17.3,3.39,8.43,30,41.15,5,38,68,2
Jersey cross,1,38,10,8,0.15,13.7,3.64,8.52,37,44.7,3,29,59,1
Holstein Friesian Cross,2,27,12,9,0.29,15.29,3.44,8.44,34,44.08,2,47,69,2
Jersey cross,2,39,7,5,1.63,14.12,3.55,8.62,29,35.48,4,53,70,3
Jersey cross,5,34,10,12,0.9,15.08,3.68,8.4,36,39.72,6,66,56,3
Jersey cross,6,33,5,13,1.69,15.95,3.79,8.41,38,43.85,5,42,67,3
Jersey cross,9,28,8,10,0.74,17.32,3.62,8.46,28,38.09,2,57,52,1
Jersey cross,5,45,13,7,0.76,15.32,3.42,8.57,33,44.94,5,30,57,1
Jersey cross,6,37,5,11,0.97,16.26,3.69,8.42,34,38.97,3,56,69,0
Jersey cross,4,44,5,11,1.24,15.33,3.68,8.5,29,43.44,4,51,50,1
Jersey cross,6,39,14,13,1.19,17.39,3.72,8.47,38,40.62,4,55,73,0
Jersey cross,9,25,12,9,1.17,17.03,3.8,8.53,35,43.51,5,46,72,1
Holstein Friesian Cross,5,26,5,12,1.82,16.21,3.58,8.43,32,37.22,6,45,59,1
Holstein Friesian Cross,6,45,9,6,0.76,18.58,3.26,8.51,28,43.83,4,31,57,2
Holstein Friesian Cross,1,43,10,10,1.44,16.62,3.34,8.42,36,40.38,4,71,71,2
Jersey cross,3,26,12,13,1.43,14.2,3.77,8.54,38,41.79,4,62,50,3
Jersey cross,8,40,12,8,1.63,17.53,3.46,8.61,33,44.5,4,34,53,2
Holstein Friesian Cross,1,36,10,11,1.61,15.94,3.43,8.54,35,39.04,6,63,62,1
Jersey cross,1,27,5,13,1.57,13.11,3.7,8.44,33,39.28,3,30,70,1
Jersey cross,9,45,6,11,0.27,19.18,3.51,8.43,28,39.5,6,25,75,3
Holstein Friesian Cross,6,29,12,13,1.96,18.3,3.45,8.52,32,38.97,2,51,56,3
Holstein Friesian Cross,5,38,11,6,1.03,17.37,3.14,8.46,34,38.54,6,43,65,1
Jersey cross,2,38,9,9,1.61,14.24,3.55,8.56,37,40.64,4,60,53,0
Jersey cross,1,29,6,5,1.15,11.93,3.69,8.53,30,44.47,6,46,73,0
Holstein Friesian Cross,7,28,11,12,0.17,18.85,3.55,8.47,33,44.0,5,53,65,0
Holstein Friesian Cross,9,41,10,12,1.88,20.01,3.32,8.47,29,43.31,5,45,50,0
Jersey cross,5,39,10,13,1.47,15.98,3.64,8.44,33,38.47,4,66,70,0
Jersey cross,5,36,12,8,1.75,16.25,3.58,8.53,29,44.92,4,33,58,1
Holstein Friesian Cross,7,32,13,13,0.51,19.31,3.45,8.44,35,40.66,4,70,67,2
Jersey cross,5,27,7,11,0.2,14.2,3.7,8.39,30,38.23,6,28,58,1
Holstein Friesian Cross,4,26,11,10,1.35,15.56,3.4,8.54,38,41.57,2,30,52,1
Holstein Friesian Cross,9,41,6,9,1.43,19.27,3.31,8.45,28,43.16,4,69,63,1
Holstein Friesian Cross,2,44,13,6,0.62,16.87,3.11,8.65,35,41.18,5,69,51,2
Jersey cross,9,36,8,10,1.67,16.95,3.59,8.54,33,41.56,2,58,66,1
Jersey cross,7,42,7,4,0.67,16.16,3.37,8.46,31,41.44,2,44,75,2
Holstein Friesian Cross,3,26,10,14,1.11,15.92,3.5,8.44,35,39.81,4,41,60,3
Jersey cross,2,25,7,8,0.65,12.33,3.66,8.54,33,42.68,4,72,58,3
Holstein Friesian Cross,3,35,13,13,0.71,16.7,3.43,8.42,28,43.19,3,65,60,3
Holstein Friesian Cross,8,44,6,6,0.06,18.47,3.1,8.48,33,35.62,2,47,56,1
Jersey cross,6,38,5,8,0.73,16.36,3.65,8.51,38,43.58,6,27,60,2
Jersey cross,9,30,10,9,0.48,16.04,3.69,8.56,31,35.91,6,69,66,3
Jersey cross,6,40,11,12,0.55,16.92,3.65,8.47,29,35.49,3,33,54,3
Jersey cross,5,28,9,11,1.46,15.44,3.81,8.47,30,41.3,6,57,52,3
Holstein Friesian Cross,8,36,12,13,1.33,20.15,3.4,8.46,33,41.81,5,46,61,3
Holstein Friesian Cross,4,33,7,11,1.96,16.35,3.39,8.55,35,40.35,4,37,68,0
Holstein Friesian Cross,5,30,14,10,0.22,16.67,3.44,8.52,31,44.33,5,75,55,1
Holstein Friesian Cross,8,25,6,8,1.76,18.14,3.38,8.47,37,39.0,2,52,57,3
Jersey cross,1,29,8,9,1.62,12.3,3.79,8.4,38,40.28,3,40,66,3
Jersey cross,2,45,11,9,0.95,14.93,3.62,8.44,32,39.61,2,63,61,3
Holstein Friesian Cross,7,38,11,11,1.27,19.58,3.27,8.52,31,37.77,2,59,54,2
Holstein Friesian Cross,1,45,11,12,0.27,17.18,3.37,8.41,28,37.56,2,37,58,3
Holstein Friesian Cross,8,25,7,9,1.12,18.43,3.47,8.51,35,43.69,6,75,64,2
Jersey cross,5,45,6,7,1.45,14.89,3.4,8.4,37,38.13,4,59,62,1
Holstein Friesian Cross,4,44,14,12,0.75,19.18,3.24,8.52,36,40.56,5,70,73,3
Holstein Friesian Cross,1,45,10,5,0.8,16.09,3.1,8.47,34,41.73,4,59,71,0
Jersey cross,7,40,7,7,0.81,16.31,3.58,8.43,28,42.58,6,61,53,1
Jersey cross,7,33,7,4,0.07,15.55,3.61,8.55,30,41.99,2,40,75,3
Jersey cross,3,29,12,12,0.01,14.6,3.67,8.49,30,43.51,2,38,64,1
Holstein Friesian Cross,2,42,8,14,0.32,18.03,3.34,8.39,38,41.91,5,72,57,3
Jersey cross,3,44,13,11,1.85,16.42,3.61,8.6,34,39.48,5,36,59,3
Jersey cross,6,41,12,4,0.75,14.69,3.53,8.62,30,40.06,4,42,74,2
